Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
01/07/2019,15987,9962,407,21223,3715,
15/09/2023,15499,10671,267,18421,4519,61
28/12/2021,1756,2352,0,3775,0,13
11/01/2023,10536,8347,223,14072,0,48
11/09/2021,820,612,0,1283,0,11
31/01/2020,12977,9620,242,19327,0,0
01/03/2023,17387,11627,362,21753,5544,108
17/07/2021,2735,3651,0,5236,0,20
07/03/2023,17674,11859,364,21560,5700,91
12/11/2020,13405,6989,273,13688,4983,74
29/08/2023,16332,11502,395,20819,4718,90
30/09/2019,14148,11666,414,22670,0,0
11/03/2023,4137,6701,0,9370,9,19
11/06/2020,9293,4765,127,9940,4936,1
08/05/2022,1815,3424,0,4869,0,18
22/06/2021,15204,9372,324,16855,4239,80
28/06/2022,11895,8363,262,14384,2913,57
25/10/2021,6517,3158,80,6569,1861,39
05/05/2021,16573,9338,341,17666,5786,77
11/04/2023,11880,9258,292,16829,0,49
04/10/2020,1835,3226,0,4156,0,27
30/12/2021,4349,2957,16,4988,0,40
27/10/2019,3020,5112,0,6761,0,171
28/11/2019,18200,11890,424,23911,4904,0
19/12/2020,3103,4635,0,5958,0,24
19/11/2022,3736,5573,0,7765,0,32
13/09/2021,2164,848,22,2204,0,35
17/09/2023,2709,5108,0,7813,0,23
30/12/2019,5899,4310,26,7269,0,0
12/10/2019,3631,6629,0,9204,0,0
04/11/2021,9013,4379,112,8518,4388,56
18/01/2023,11246,8489,278,14409,0,70
12/09/2020,2449,3707,0,5562,0,17
07/10/2023,4077,6830,0,8725,0,14
02/06/2020,9101,4373,110,9258,4931,1
02/02/2022,11578,5892,114,10954,5852,53
15/05/2021,3003,4645,0,6296,0,27
19/03/2022,3189,5160,0,6911,0,34
02/02/2023,15814,10464,324,18290,5995,82
08/01/2021,8402,6501,144,10400,0,34
23/10/2020,13313,6459,198,13817,5004,40
23/09/2020,12750,6277,202,12590,4965,63
23/07/2020,11244,5630,167,11301,5205,64
26/02/2023,2481,5640,0,6881,0,21
12/08/2020,11814,5681,180,11606,5116,52
12/09/2022,13036,8545,215,15050,4514,105
28/02/2023,15837,11516,351,20528,2345,84
28/03/2020,1092,1081,0,1971,0,0
24/07/2019,19380,12044,463,25312,5786,1
26/04/2021,2282,3173,0,4503,0,23
08/12/2021,11353,6969,213,12215,2565,76
05/11/2019,18877,12355,468,24998,5752,1
26/11/2020,13752,8194,237,14711,4502,67
16/06/2023,14424,10477,284,17591,4425,64
21/12/2019,3175,4981,0,6683,0,1
01/01/2023,1364,2406,0,3178,0,4
09/10/2022,2154,3826,0,5430,0,16
07/08/2023,15879,10904,330,19511,4755,71
18/07/2020,2035,3565,0,4853,0,23
20/07/2022,13322,8369,212,14852,4448,61
04/10/2019,14021,12060,313,23197,0,0
11/02/2021,16855,9005,308,17343,6264,111
23/07/2022,3016,5045,0,6759,0,30
20/04/2020,2987,2388,55,3662,0,0
03/05/2020,959,1086,0,1821,0,0
25/09/2021,821,709,0,1425,0,12
06/09/2019,17771,11162,364,22459,5421,0
24/03/2023,16465,11110,281,19704,5200,76
09/09/2020,12127,6074,157,11887,5078,54
28/07/2021,15168,8604,314,16204,5318,55
26/01/2021,1960,2800,0,4382,0,14
30/08/2023,16457,11148,385,20283,4678,91
13/05/2023,3988,6036,0,8328,0,24
09/07/2020,6888,5062,129,9600,0,8
26/07/2019,18698,12296,298,24258,5634,2
24/09/2020,13115,6539,217,12691,5071,49
12/07/2023,11725,9846,348,16297,0,49
01/10/2019,15028,12441,421,24365,0,1
04/06/2022,2632,4137,0,5868,0,16
25/12/2021,79,409,0,156,0,0
12/03/2021,16565,9548,258,17365,5472,79
14/12/2021,11100,7081,221,12751,841,57
23/02/2020,3124,6520,0,7922,2,1
27/02/2022,1958,3660,0,4666,0,33
10/06/2021,15388,9114,289,16617,5269,84
04/01/2023,8322,5964,140,10293,0,32
10/12/2022,3687,6170,0,7773,0,26
22/02/2021,16090,8742,318,16780,5741,84
17/09/2019,18169,11827,484,25470,5711,0
10/01/2021,1866,2063,0,4063,0,18
02/03/2020,19911,12308,485,26947,6518,0
01/05/2020,3258,1687,41,3734,72,8
12/10/2021,2775,1231,36,2806,0,29
07/06/2022,12863,8321,233,14594,4367,58
13/10/2022,15019,9623,240,17206,4386,94
19/07/2023,15669,10790,380,18916,5000,98
06/03/2022,1935,3126,0,4911,11,20
18/03/2022,13920,8671,191,15136,4728,109
05/10/2022,9813,7663,252,13674,0,45
10/04/2020,379,506,0,850,0,0
24/02/2020,20110,12211,516,26749,6622,0
28/10/2020,13441,7017,237,13669,5350,46
20/10/2023,16409,11289,276,19301,4789,82
27/11/2022,2534,4322,0,6253,0,21
24/11/2021,10571,5992,175,11603,4309,62
10/05/2022,13618,8881,270,15462,4768,97
16/11/2019,4063,6734,0,9130,0,0
10/07/2020,6701,5250,111,9377,0,3
01/01/2022,1028,1653,0,2245,0,9
17/06/2023,3861,5745,0,7858,0,64
26/09/2022,10515,8757,211,14394,0,68
01/12/2022,14039,9654,228,16573,3421,51
28/02/2020,20266,14527,416,27198,6358,0
20/11/2022,2384,4102,0,5694,0,34
03/08/2020,11297,5464,148,10927,5289,89
30/08/2019,18595,12416,363,24492,5150,1
07/05/2020,3741,2126,58,4792,147,8
26/01/2023,2333,4119,0,5938,0,13
18/08/2023,15409,10825,260,18974,4402,92
18/08/2021,2079,800,22,1915,19,17
17/05/2020,1074,1489,0,2243,0,0
16/03/2023,17731,11437,266,21334,5628,115
04/06/2023,2317,4011,0,5786,0,13
09/01/2023,9863,7632,226,13141,0,44
19/07/2022,13438,8299,221,14648,4620,58
26/08/2021,2074,753,14,1909,0,22
06/02/2022,1888,2750,0,4112,0,14
01/09/2020,12001,6149,187,12148,5041,69
19/12/2022,10284,7898,184,13242,0,48
11/02/2020,20335,12064,529,26842,7255,1
06/07/2022,9609,7958,235,12697,0,52
19/05/2023,15563,10628,287,18360,4607,87
05/05/2023,15523,10625,274,18453,4759,81
06/04/2023,15478,10385,258,18318,4393,78
26/01/2022,1716,2424,0,3957,0,22
22/09/2020,12729,6408,228,12778,5228,41
31/07/2019,19599,12447,478,25342,5736,0
09/11/2019,3905,6565,0,9388,0,0
02/03/2023,17478,11640,333,20972,5190,159
13/08/2020,11977,5930,172,11904,5184,58
15/06/2022,13225,8683,228,14884,4201,39
27/02/2023,16775,10728,312,19631,5672,71
